round,moody_avg_mood,moody_avg_score,moody_avg_connectivity,sarsa_avg_score,sarsa_avg_connectivity,tft_avg_score,tft_avg_connectivity,wsls_avg_score,wsls_avg_connectivity
0,63.867,2.143,0.048,3.277,0.048,40.385,0.059,35.714,0.047
100,99.1,2.812,0.605,3.685,0.253,50.0,0.501,50.0,0.492
200,98.9,2.977,0.569,3.64,0.053,50.0,0.457,50.0,0.449
300,98.8,3.068,0.541,3.641,0.01,50.0,0.461,50.0,0.444
400,99.267,3.119,0.489,3.642,0.001,50.0,0.467,50.0,0.46
500,99.233,3.156,0.448,3.643,0.0,50.0,0.473,50.0,0.464
600,99.533,3.187,0.406,3.644,0.0,50.0,0.484,50.0,0.467
700,99.733,3.215,0.385,3.645,0.0,50.0,0.481,50.0,0.454
800,99.733,3.242,0.367,3.646,0.0,50.0,0.464,50.0,0.451
900,99.7,3.267,0.358,3.646,0.0,50.0,0.476,50.0,0.443
1000,99.867,3.288,0.352,3.646,0.0,50.0,0.466,50.0,0.431
1100,97.333,3.242,0.577,3.654,0.264,50.0,0.548,50.0,0.519
1200,97.667,3.23,0.46,3.646,0.055,50.0,0.478,50.0,0.457
1300,98.833,3.239,0.396,3.644,0.009,50.0,0.47,50.0,0.449
1400,99.433,3.253,0.379,3.645,0.0,50.0,0.469,50.0,0.431
1500,99.533,3.267,0.367,3.645,0.0,50.0,0.47,50.0,0.455
1600,99.233,3.28,0.368,3.645,0.0,50.0,0.47,50.0,0.475
1700,99.8,3.293,0.358,3.645,0.0,50.0,0.448,50.0,0.45
1800,99.633,3.304,0.364,3.645,0.0,50.0,0.481,50.0,0.451
1900,99.7,3.315,0.351,3.645,0.0,50.0,0.462,50.0,0.449
2000,99.8,3.325,0.365,3.645,0.0,50.0,0.446,50.0,0.44
2100,98.167,3.296,0.559,3.65,0.268,50.0,0.536,50.0,0.492
2200,98.633,3.286,0.428,3.652,0.053,50.0,0.487,50.0,0.465
2300,99.5,3.29,0.383,3.653,0.013,50.0,0.459,50.0,0.456
2400,99.2,3.297,0.367,3.656,0.0,50.0,0.467,50.0,0.454
2500,99.367,3.305,0.356,3.656,0.0,50.0,0.475,50.0,0.44
2600,99.2,3.312,0.353,3.656,0.0,50.0,0.464,50.0,0.426
2700,99.133,3.32,0.353,3.656,0.0,50.0,0.447,50.0,0.446
2800,99.1,3.326,0.355,3.656,0.0,50.0,0.479,50.0,0.455
2900,99.033,3.332,0.353,3.656,0.0,50.0,0.462,50.0,0.445
3000,99.2,3.338,0.354,3.656,0.0,50.0,0.462,50.0,0.438
3100,98.833,3.319,0.56,3.659,0.277,50.0,0.543,50.0,0.539
3200,99.1,3.31,0.437,3.663,0.058,50.0,0.493,50.0,0.469
3300,99.067,3.312,0.38,3.666,0.011,50.0,0.473,50.0,0.455
3400,99.267,3.317,0.355,3.668,0.003,50.0,0.464,50.0,0.429
3500,99.767,3.323,0.361,3.668,0.0,50.0,0.478,50.0,0.47
3600,99.7,3.328,0.357,3.668,0.0,50.0,0.476,50.0,0.445
3700,99.567,3.333,0.361,3.668,0.0,50.0,0.474,50.0,0.458
3800,99.667,3.338,0.36,3.668,0.0,50.0,0.462,50.0,0.447
3900,99.767,3.343,0.36,3.668,0.0,50.0,0.465,50.0,0.441
4000,99.667,3.348,0.355,3.668,0.0,50.0,0.47,50.0,0.438
4100,98.267,3.332,0.536,3.656,0.285,50.0,0.531,50.0,0.524
4200,98.533,3.326,0.414,3.657,0.054,50.0,0.475,50.0,0.457
4300,99.633,3.328,0.366,3.655,0.009,50.0,0.476,50.0,0.451
4400,99.833,3.332,0.358,3.655,0.001,50.0,0.467,50.0,0.462
4500,99.667,3.336,0.364,3.656,0.0,50.0,0.453,50.0,0.443
4600,99.5,3.34,0.358,3.656,0.0,50.0,0.462,50.0,0.448
4700,99.267,3.344,0.356,3.656,0.0,50.0,0.463,50.0,0.458
4800,99.467,3.347,0.349,3.656,0.0,50.0,0.466,50.0,0.443
4900,99.167,3.351,0.366,3.656,0.0,50.0,0.477,50.0,0.454
5000,98.533,3.354,0.361,3.656,0.0,50.0,0.476,50.0,0.439
5100,98.667,3.341,0.549,3.653,0.267,50.0,0.548,50.0,0.516
5200,98.9,3.335,0.42,3.659,0.053,50.0,0.49,50.0,0.459
5300,99.467,3.336,0.369,3.661,0.008,50.0,0.467,50.0,0.467
5400,99.567,3.339,0.36,3.662,0.0,50.0,0.471,50.0,0.446
5500,99.7,3.343,0.355,3.662,0.0,50.0,0.463,50.0,0.444
5600,99.767,3.346,0.361,3.662,0.0,50.0,0.475,50.0,0.453
5700,99.433,3.349,0.353,3.662,0.0,50.0,0.474,50.0,0.454
5800,99.733,3.352,0.354,3.662,0.0,50.0,0.468,50.0,0.456
5900,99.2,3.355,0.364,3.662,0.0,50.0,0.481,50.0,0.457
6000,99.533,3.358,0.362,3.662,0.0,50.0,0.46,50.0,0.456
6100,98.167,3.346,0.536,3.659,0.27,50.0,0.527,50.0,0.517
6200,99.067,3.341,0.406,3.654,0.061,50.0,0.499,50.0,0.481
6300,98.9,3.342,0.378,3.654,0.007,50.0,0.474,50.0,0.473
6400,99.467,3.345,0.355,3.653,0.001,50.0,0.466,50.0,0.464
6500,99.633,3.347,0.36,3.654,0.0,50.0,0.469,50.0,0.461
6600,99.667,3.35,0.359,3.654,0.0,50.0,0.471,50.0,0.462
6700,99.733,3.353,0.363,3.654,0.0,50.0,0.484,50.0,0.454
6800,99.767,3.355,0.357,3.654,0.0,50.0,0.453,50.0,0.44
6900,99.667,3.357,0.362,3.654,0.0,50.0,0.463,50.0,0.43
7000,99.633,3.36,0.36,3.654,0.0,50.0,0.478,50.0,0.472
7100,97.867,3.35,0.536,3.654,0.295,50.0,0.532,50.0,0.52
7200,98.7,3.346,0.412,3.655,0.065,50.0,0.492,50.0,0.473
7300,99.267,3.346,0.369,3.656,0.009,50.0,0.468,50.0,0.448
7400,99.333,3.348,0.358,3.656,0.0,50.0,0.461,50.0,0.441
7500,99.133,3.351,0.361,3.656,0.0,50.0,0.478,50.0,0.449
7600,99.033,3.353,0.358,3.656,0.0,50.0,0.475,50.0,0.447
7700,99.033,3.355,0.362,3.656,0.0,50.0,0.468,50.0,0.459
7800,99.1,3.357,0.358,3.656,0.0,50.0,0.477,50.0,0.465
7900,98.933,3.359,0.364,3.656,0.0,50.0,0.464,50.0,0.469
8000,99.033,3.361,0.368,3.656,0.0,50.0,0.478,50.0,0.448
8100,98.133,3.352,0.524,3.659,0.274,50.0,0.543,50.0,0.52
8200,99.033,3.349,0.403,3.66,0.057,50.0,0.489,50.0,0.473
8300,99.5,3.35,0.371,3.66,0.008,50.0,0.468,50.0,0.463
8400,99.3,3.351,0.354,3.66,0.001,50.0,0.455,50.0,0.449
8500,99.467,3.353,0.353,3.66,0.0,50.0,0.481,50.0,0.455
8600,99.467,3.355,0.35,3.66,0.0,50.0,0.461,50.0,0.445
8700,99.533,3.357,0.359,3.66,0.0,50.0,0.452,50.0,0.454
8800,99.633,3.359,0.366,3.66,0.0,50.0,0.484,50.0,0.466
8900,99.767,3.361,0.358,3.66,0.0,50.0,0.461,50.0,0.44
9000,99.333,3.363,0.356,3.66,0.0,50.0,0.46,50.0,0.442
9100,98.0,3.355,0.532,3.667,0.269,50.0,0.531,50.0,0.532
9200,99.133,3.352,0.405,3.668,0.056,50.0,0.487,50.0,0.465
9300,98.933,3.353,0.37,3.668,0.011,50.0,0.477,50.0,0.437
9400,99.533,3.354,0.36,3.667,0.003,50.0,0.47,50.0,0.462
9500,99.633,3.356,0.361,3.667,0.001,50.0,0.476,50.0,0.459
9600,99.567,3.358,0.363,3.667,0.0,50.0,0.465,50.0,0.463
9700,99.367,3.36,0.362,3.667,0.0,50.0,0.463,50.0,0.454
9800,99.7,3.361,0.352,3.667,0.0,50.0,0.455,50.0,0.452
9900,99.6,3.363,0.358,3.667,0.0,50.0,0.459,50.0,0.445
10000,99.567,3.364,0.358,3.667,0.0,50.0,0.452,50.0,0.45
10100,97.967,3.357,0.521,3.668,0.26,50.0,0.544,50.0,0.525
10200,99.133,3.354,0.402,3.669,0.06,50.0,0.475,50.0,0.457
10300,98.867,3.355,0.37,3.669,0.011,50.0,0.481,50.0,0.446
10400,99.0,3.356,0.357,3.669,0.001,50.0,0.462,50.0,0.448
10500,99.1,3.358,0.359,3.669,0.0,50.0,0.468,50.0,0.465
10600,98.9,3.359,0.349,3.669,0.0,50.0,0.482,50.0,0.446
10700,98.967,3.361,0.361,3.669,0.0,50.0,0.467,50.0,0.462
10800,99.067,3.362,0.353,3.669,0.0,50.0,0.465,50.0,0.471
10900,98.933,3.363,0.359,3.669,0.0,50.0,0.455,50.0,0.448
11000,99.033,3.365,0.361,3.669,0.0,50.0,0.457,50.0,0.442
11100,98.3,3.358,0.507,3.668,0.246,50.0,0.506,50.0,0.51
11200,98.733,3.356,0.404,3.667,0.048,50.0,0.487,50.0,0.461
11300,99.467,3.356,0.368,3.667,0.006,50.0,0.486,50.0,0.462
11400,99.667,3.357,0.358,3.668,0.003,50.0,0.456,50.0,0.45
11500,99.533,3.359,0.357,3.668,0.001,50.0,0.462,50.0,0.429
11600,99.4,3.36,0.355,3.668,0.0,50.0,0.467,50.0,0.452
11700,99.5,3.362,0.354,3.668,0.0,50.0,0.468,50.0,0.459
11800,99.233,3.363,0.359,3.668,0.0,50.0,0.48,50.0,0.457
11900,99.467,3.364,0.363,3.668,0.0,50.0,0.481,50.0,0.451
12000,99.3,3.366,0.358,3.668,0.0,50.0,0.476,50.0,0.452
12100,98.6,3.36,0.518,3.667,0.253,50.0,0.537,50.0,0.514
12200,98.6,3.358,0.406,3.667,0.058,50.0,0.489,50.0,0.492
12300,99.1,3.358,0.368,3.668,0.008,50.0,0.467,50.0,0.457
12400,99.467,3.36,0.362,3.668,0.001,50.0,0.467,50.0,0.446
12500,99.3,3.361,0.354,3.668,0.0,50.0,0.462,50.0,0.444
12600,99.467,3.362,0.36,3.668,0.0,50.0,0.471,50.0,0.459
12700,99.4,3.363,0.36,3.668,0.0,50.0,0.478,50.0,0.437
12800,99.4,3.364,0.367,3.668,0.0,50.0,0.467,50.0,0.455
12900,99.367,3.366,0.361,3.668,0.0,50.0,0.468,50.0,0.461
13000,99.3,3.367,0.359,3.668,0.0,50.0,0.47,50.0,0.458
13100,98.133,3.361,0.532,3.672,0.271,50.0,0.552,50.0,0.53
13200,98.967,3.359,0.401,3.671,0.064,50.0,0.495,50.0,0.467
13300,99.5,3.359,0.366,3.671,0.011,50.0,0.468,50.0,0.451
13400,99.333,3.36,0.366,3.671,0.002,50.0,0.467,50.0,0.455
13500,99.667,3.362,0.356,3.671,0.0,50.0,0.466,50.0,0.464
13600,99.933,3.363,0.363,3.671,0.0,50.0,0.474,50.0,0.449
13700,99.767,3.364,0.363,3.671,0.0,50.0,0.485,50.0,0.44
13800,99.8,3.365,0.356,3.671,0.0,50.0,0.465,50.0,0.448
13900,99.667,3.367,0.366,3.671,0.0,50.0,0.479,50.0,0.457
14000,99.867,3.368,0.367,3.671,0.0,50.0,0.472,50.0,0.473
14100,97.667,3.363,0.515,3.67,0.255,50.0,0.512,50.0,0.509
14200,99.1,3.361,0.391,3.672,0.045,50.0,0.481,50.0,0.457
14300,99.7,3.361,0.369,3.672,0.012,50.0,0.481,50.0,0.459
14400,99.533,3.362,0.357,3.672,0.0,50.0,0.467,50.0,0.457
14500,99.7,3.363,0.359,3.672,0.0,50.0,0.467,50.0,0.454
14600,99.667,3.364,0.365,3.672,0.0,50.0,0.477,50.0,0.452
14700,99.767,3.365,0.355,3.672,0.0,50.0,0.466,50.0,0.455
